path,status,current_size_bytes,archive_size_bytes,current_sha256,archive_sha256
outputs/stage1/key_events.csv,same,366,366,4510702f5dbba63cb22b9340bdca01061f1162436f0161367bf6285fa7c443de,4510702f5dbba63cb22b9340bdca01061f1162436f0161367bf6285fa7c443de
outputs/stage1/key_trajectories.csv,same,1489992,1489992,a962539506d2a143cc4ee233f08211511057c0ef4850b031dc6b853c6fcf37db,a962539506d2a143cc4ee233f08211511057c0ef4850b031dc6b853c6fcf37db
outputs/stage1/metrics.csv,same,22567,22567,81662ca368073843a2f25aa2b49a84833a6e68d1fdb89ee82bf5954a28905a06,81662ca368073843a2f25aa2b49a84833a6e68d1fdb89ee82bf5954a28905a06
outputs/stage1/run_log.txt,same,648,648,fd66ab13cf3cf186fe67918592ed9f1387f8c994f80593b69869cfd34bc9025a,fd66ab13cf3cf186fe67918592ed9f1387f8c994f80593b69869cfd34bc9025a
outputs/stage1/trajectories.csv,current_only,44140315,,de30a9134fff1f7cfea87bb49f43e3a758529a0cbc20c3809e4665e5b1cd1098,
outputs/stage1/vehicle_metrics.csv,same,58409,58409,26707716a65acdc8bb6ac5c46707ebfafd3b13289a22899883b5e7ddc73823d3,26707716a65acdc8bb6ac5c46707ebfafd3b13289a22899883b5e7ddc73823d3
references/literature_notes.md,same,2182,2182,05177b2ddb3b994a46fc6dd3c08973d2c97741c33660170844db3812912a2735,05177b2ddb3b994a46fc6dd3c08973d2c97741c33660170844db3812912a2735
reports/data_audit.md,same,644,644,41724bd32ef06984f6b03db721a3a665743b1c42e75fcd1c9e0c022a98e31109,41724bd32ef06984f6b03db721a3a665743b1c42e75fcd1c9e0c022a98e31109
reports/model_plan.md,same,634,634,3228a617f7276d09fb8091941bd17229aee24386a5511499eb2f2d9cdf359944,3228a617f7276d09fb8091941bd17229aee24386a5511499eb2f2d9cdf359944
reports/stage1_report.md,same,6709,6709,2da2abb866f9cfe9dda6bb28e21719bb50114d449e6d4bd87861ef0770882a1e,2da2abb866f9cfe9dda6bb28e21719bb50114d449e6d4bd87861ef0770882a1e
reports/validation_report.md,same,782,782,3c352f0883e60a478256b75e81751c981c951f7f085cec62dd51b8c11d437412,3c352f0883e60a478256b75e81751c981c951f7f085cec62dd51b8c11d437412
src/__init__.py,same,32,32,432a5d573457bb1f5f39fd3b5700e22624f8aa20136d72bf780b8f24a0d84321,432a5d573457bb1f5f39fd3b5700e22624f8aa20136d72bf780b8f24a0d84321
src/__pycache__/__init__.cpython-312.pyc,current_only,176,,ffbac5bb7ff1ebbe90c4c0680579efe087417d7d0de56972c6166f7f6496e914,
src/swarmalator_cav/__init__.py,same,248,248,5eaefaa6f2bf20ed0d7fb66efd30a431d9779ab409369d004690fa6e862ab908,5eaefaa6f2bf20ed0d7fb66efd30a431d9779ab409369d004690fa6e862ab908
src/swarmalator_cav/__pycache__/__init__.cpython-312.pyc,current_only,376,,e6b51d9cac3e505ff1b4063d001aea667ffd135f47c790661448fcf4e48dcc3a,
src/swarmalator_cav/__pycache__/run_stage1.cpython-312.pyc,current_only,34863,,2ec4d6efd47d57e3f92d3edc2ad02b31debdbc1717af3212323d23363640f21f,
src/swarmalator_cav/__pycache__/simulation.cpython-312.pyc,current_only,49815,,4efb828692eba1cc54a9bef5a1bb67e9d80bcfbca1bc8dee28a762d7e3ef6e5e,
src/swarmalator_cav/run_stage1.py,same,22542,22542,1f041bf7ed54a1ce3e051395669bf419e6f991c14e49fa61bd1d492a57543e23,1f041bf7ed54a1ce3e051395669bf419e6f991c14e49fa61bd1d492a57543e23
src/swarmalator_cav/simulation.py,same,35596,35596,fedee93b1d0599f9a73178acb8ed5a316a5a078884e81b9dfae69c79de356560,fedee93b1d0599f9a73178acb8ed5a316a5a078884e81b9dfae69c79de356560
stage1_feedback_manifest.txt,archive_only,,518,,6edbe6427df824aefb023e675cda0850346cbef6473c25deae0e6e34bd57635f
tests/__pycache__/test_simulation.cpython-312-pytest-9.1.1.pyc,current_only,14429,,34154726ca9c7677fd7824e9052ed73f39a0ad9300123a41c722f5ec6008b5a7,
tests/test_simulation.py,same,2326,2326,89bffea0fa8dc0d7227d82e4a039f5ce8186f605a052a635839d79dff4ac5aea,89bffea0fa8dc0d7227d82e4a039f5ce8186f605a052a635839d79dff4ac5aea
