run_id,method,ablation,scenario,disturbance,init_variant,outcome,success,geometry_completed,merge_start_time_s,completion_time_s,planner_first_time_s,planner_first_valid_time_s,planner_replans,planner_mean_compute_time_s,planner_p95_compute_time_s,planner_max_compute_time_s,planner_candidate_count,planner_total_candidate_count,planner_decision_count,planner_predicted_completion_s_m,planner_predicted_completion_t_s,planner_predicted_min_h_m,speed_deficit_prepare_m,speed_deficit_execute_m,speed_deficit_handoff_m,speed_deficit_normal_follow_m,speed_deficit_failure_handling_m,total_speed_deficit_distance_m,total_effort_integral_m2_s3,max_abs_jerk_mps3,safety_correction_count,action_saturation_count,empty_action_steps,handoff_duration_s,handoff_min_h_MR_m,completion_relative_v_MR_mps,completion_relative_a_MR_mps2,completion_rear_braking_demand_mps2,recovery_time_s,compute_time_s,mission_valid,full_window_valid,error
S2_collaborative_none_i0,S2,,collaborative,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.11488129999876644,0.18282952000154182,0.19733840000117198,17.555555555555557,158,9,157.2284241833711,4.5,2.04850848886484,0.8913213053952916,14.691252023250435,10.518815273183002,31.85416343076463,0,57.95555203259336,24.46753112875444,2.5,0,1,0,1.0,9.244870853310744,2.3662986916766435,-0.0954730177097618,0.9833654789234965,1.0,1.1859127000207081,1,1,
S2_collaborative_prepare_i0,S2,,collaborative,prepare,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.12189581111306325,0.1709548200247809,0.18377430003602058,17.555555555555557,158,9,157.2284241833711,4.5,1.7983398755642899,0.8975713053952918,16.745079396076637,11.493665095645103,36.17438620905604,0,65.31070200617307,28.940251441920452,2.5,0,30,26,1.0,8.132884541003817,1.598315745715496,-0.29785786622037125,1.0433632248353266,1.0,1.246253399993293,0,0,h_FM_negative
S2_collaborative_none_i2,S2,,collaborative,none,2,completed,1,1,2.0,5.0,0.0,0.0,10,0.11788692001136951,0.18181022501375987,0.19440010003745556,16.5,165,10,161.0562499999998,5.0,3.841807809280928,3.4057785193890617,24.380114995128913,14.912703326275535,53.30280492113526,0,96.00140176192878,35.91716588995028,2.5,0,1,0,1.0,7.56858790006061,1.5497695351739722,-0.19179996931504673,1.0733955375888469,1.0,1.3291698999819346,1,1,
S2_ample_none_i0,S2,,ample,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.10736441111657768,0.16335717998445035,0.16844649997074157,17.555555555555557,158,9,164.8221269039056,4.5,0.8111048442827293,0.07364766826615554,1.1906139566972351,0.5755996377093581,3.167233179873537,0,5.007094442546285,4.3878322760956685,2.5,0,5,0,1.0,9.185840102940862,2.1910076625366983,-0.17191853913532873,0.12740490525608184,1.0,1.1184448999702,1,1,
S2_ample_prepare_i0,S2,,ample,prepare,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.12420923332683742,0.19033162001287562,0.2090077000320889,17.555555555555557,158,9,164.8221269039056,4.5,0.4200141697386979,0.07364766826615554,2.3268879470732595,0.7315423071769036,4.1772561684370455,0,7.309334090953364,5.652617363592313,2.500000000000002,0,34,0,1.0,8.786838208352115,1.874960756582439,-0.25416509696442224,0.19151329460583488,1.0,1.282874799973797,1,1,
S3_collaborative_none_i0,S3,,collaborative,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.13716133332733685,0.21247332000639288,0.23434700001962483,17.555555555555557,158,9,157.4400452587376,4.5,1.969222126178857,0.8707988231280668,13.901525919601193,9.836279576065982,28.30642649729245,0,52.91503081608769,22.342752292109964,2.5,0,1,0,1.0,8.760673238991734,2.2047179271679322,-0.10751865099706492,0.9009691444627133,1.0,1.4352289999951608,1,1,
S3_collaborative_prepare_i0,S3,,collaborative,prepare,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.14619667778283152,0.21395304000470786,0.2195431999862194,17.555555555555557,158,9,157.4400452587376,4.5,2.016961430809171,0.877048823128067,16.31936690050548,11.114501900953929,34.632711672968796,0,62.94362929755627,27.702686101123962,2.5,0,30,24,1.0,7.358659521136154,1.226634096152786,-0.3673064351772053,0.9620224450910335,1.0,1.4964101999648847,0,0,h_FM_negative
S3_collaborative_none_i2,S3,,collaborative,none,2,completed,1,1,2.0,5.0,0.0,0.0,10,0.11153721000882796,0.21219626499223515,0.2514679000014439,16.5,165,10,161.0562499999998,5.0,4.03762275059672,3.4057785193890617,23.5652988477695,14.015881302057785,47.44358904440305,0,88.43054771361939,32.73894568547062,2.5,0,1,0,1.0,7.467565894817719,1.5517910585747323,-0.18804398488090301,0.9492764955120361,1.0,1.251087499957066,1,1,
S3_ample_none_i0,S3,,ample,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.10854009999376205,0.15741337997606022,0.17385309998644516,17.555555555555557,158,9,164.96861623268046,4.5,0.5163979422267495,0.04786509994999211,0.8070249051006337,0.3556017640225367,3.4199352915870547,0,4.630427060660217,4.453164610116257,2.5,0,5,0,1.0,8.919909959872566,2.041580335262786,-0.21851953157524284,0.07007680142762474,1.0,1.1350346999824978,1,1,
S3_ample_prepare_i0,S3,,ample,prepare,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.11089730000821874,0.17637447998858988,0.19177859998308122,17.555555555555557,158,9,164.96861623268046,4.5,-0.08984870175439141,0.04786509994999211,1.815446056626193,0.32000156515132067,4.750922296499997,0,6.934235018227503,5.755910916784623,2.500000000000002,1,43,11,1.0,8.495959701629417,1.6334903570866857,-0.4916838422316241,0.0,1.0,1.1495626999530941,1,0,h_FM_negative
