run_id,method,ablation,scenario,disturbance,init_variant,vehicle,speed_deficit_distance_m,safety_correction_count,saturation_count,max_abs_jerk_mps3
S2_ample_none_i0,S2,,ample,none,0,F,0.0,0,3,2.5
S2_ample_none_i0,S2,,ample,none,0,B,0.0,0,2,2.5
S2_ample_prepare_i0,S2,,ample,prepare,0,M,3.288322460702105,0,0,2.5
S2_ample_prepare_i0,S2,,ample,prepare,0,R,2.8665219820791843,0,0,2.5
S2_ample_prepare_i0,S2,,ample,prepare,0,F,1.1544896481720752,0,32,2.500000000000002
S2_ample_prepare_i0,S2,,ample,prepare,0,B,0.0,0,2,2.5
S3_collaborative_none_i0,S3,,collaborative,none,0,M,8.563572289670859,0,0,2.5
S3_collaborative_none_i0,S3,,collaborative,none,0,R,25.31417145676912,0,0,2.5
S3_collaborative_none_i0,S3,,collaborative,none,0,F,0.0,0,0,0.0
S3_collaborative_none_i0,S3,,collaborative,none,0,B,19.037287069647714,0,1,2.5
S3_collaborative_prepare_i0,S3,,collaborative,prepare,0,M,14.922803283331424,0,0,2.5
S3_collaborative_prepare_i0,S3,,collaborative,prepare,0,R,26.589351735019218,0,0,2.5
S3_collaborative_prepare_i0,S3,,collaborative,prepare,0,F,1.2972109757490824,0,29,2.5
S3_collaborative_prepare_i0,S3,,collaborative,prepare,0,B,20.13426330345655,0,1,2.5
S3_collaborative_none_i2,S3,,collaborative,none,2,M,20.607473752203454,0,0,2.5
S3_collaborative_none_i2,S3,,collaborative,none,2,R,37.47473205953282,0,0,2.5
S3_collaborative_none_i2,S3,,collaborative,none,2,F,0.0,0,0,0.0
S3_collaborative_none_i2,S3,,collaborative,none,2,B,30.34834190188312,0,1,2.5
S3_ample_none_i0,S3,,ample,none,0,M,3.1278451873632154,0,0,2.5
S3_ample_none_i0,S3,,ample,none,0,R,1.502581873297002,0,0,2.5
S3_ample_none_i0,S3,,ample,none,0,F,0.0,0,3,2.5
S3_ample_none_i0,S3,,ample,none,0,B,0.0,0,2,2.5
S3_ample_prepare_i0,S3,,ample,prepare,0,M,3.6371294745113305,1,9,2.5
S3_ample_prepare_i0,S3,,ample,prepare,0,R,2.1426158955440964,0,0,2.5
S3_ample_prepare_i0,S3,,ample,prepare,0,F,1.1544896481720752,0,32,2.500000000000002
S3_ample_prepare_i0,S3,,ample,prepare,0,B,0.0,0,2,2.5
P_ample_none_i1,P,,ample,none,1,M,13.073252951777862,0,0,2.5
P_ample_none_i1,P,,ample,none,1,R,33.70874756850066,0,0,2.500000000000001
P_ample_none_i1,P,,ample,none,1,F,0.0,0,3,2.5
P_ample_none_i1,P,,ample,none,1,B,26.27540891405555,0,2,2.5
P_ample_none_i2,P,,ample,none,2,M,1.0494624974614886,0,0,2.5
P_ample_none_i2,P,,ample,none,2,R,10.37891006160537,0,0,2.5
P_ample_none_i2,P,,ample,none,2,F,0.0,0,3,2.5
P_ample_none_i2,P,,ample,none,2,B,4.540233741760013,0,2,2.5
P_ample_prepare_i1,P,,ample,prepare,1,M,13.077898073907276,0,0,2.5
P_ample_prepare_i1,P,,ample,prepare,1,R,33.71051341670381,0,0,2.500000000000001
P_ample_prepare_i1,P,,ample,prepare,1,F,1.1544896481720752,0,32,2.500000000000002
P_ample_prepare_i1,P,,ample,prepare,1,B,26.277467795974914,0,2,2.5
P_ample_prepare_i2,P,,ample,prepare,2,M,1.8789378699425943,0,0,2.5
P_ample_prepare_i2,P,,ample,prepare,2,R,10.452229638982477,0,0,2.5
P_ample_prepare_i2,P,,ample,prepare,2,F,1.1544896481720752,0,32,2.500000000000002
P_ample_prepare_i2,P,,ample,prepare,2,B,4.574788701284734,0,2,2.5
P_collaborative_none_i1,P,,collaborative,none,1,M,79.9252655173515,0,0,2.5
P_collaborative_none_i1,P,,collaborative,none,1,R,91.90199369204309,0,0,2.5
P_collaborative_none_i1,P,,collaborative,none,1,F,0.0,0,0,0.0
P_collaborative_none_i1,P,,collaborative,none,1,B,81.82089514924479,0,2,2.5
P_collaborative_prepare_i1,P,,collaborative,prepare,1,M,79.92526833777684,0,0,2.5
P_collaborative_prepare_i1,P,,collaborative,prepare,1,R,91.90199536756676,0,0,2.5
P_collaborative_prepare_i1,P,,collaborative,prepare,1,F,1.2972109757490824,0,29,2.5
P_collaborative_prepare_i1,P,,collaborative,prepare,1,B,81.82089632544306,0,2,2.5
P_collaborative_prepare_i2,P,,collaborative,prepare,2,M,72.39936492819545,0,0,2.5
P_collaborative_prepare_i2,P,,collaborative,prepare,2,R,81.16649095421774,0,0,2.5
P_collaborative_prepare_i2,P,,collaborative,prepare,2,F,1.2972109757490824,0,29,2.5
P_collaborative_prepare_i2,P,,collaborative,prepare,2,B,70.9236940852333,0,1,2.5
P_short_window_none_i0,P,,short_window,none,0,M,42.51209617144476,0,0,2.5
P_short_window_none_i0,P,,short_window,none,0,R,90.86730264449304,0,0,2.5
P_short_window_none_i0,P,,short_window,none,0,F,0.0,0,0,0.0
P_short_window_none_i0,P,,short_window,none,0,B,85.07109863309968,0,2,2.5
P_short_window_none_i1,P,,short_window,none,1,M,104.6144478960865,0,0,2.5
P_short_window_none_i1,P,,short_window,none,1,R,137.86329321552358,0,0,2.5
P_short_window_none_i1,P,,short_window,none,1,F,0.0,0,0,0.0
P_short_window_none_i1,P,,short_window,none,1,B,130.60729541324937,0,2,2.5
P_short_window_none_i2,P,,short_window,none,2,M,44.25647397171972,0,0,2.5
P_short_window_none_i2,P,,short_window,none,2,R,102.06315711120116,0,0,2.5
P_short_window_none_i2,P,,short_window,none,2,F,0.0,0,0,0.0
P_short_window_none_i2,P,,short_window,none,2,B,95.72484281568292,0,2,2.5
P_short_window_prepare_i0,P,,short_window,prepare,0,M,42.51209617144476,0,0,2.5
P_short_window_prepare_i0,P,,short_window,prepare,0,R,90.86730559229821,0,0,2.5
P_short_window_prepare_i0,P,,short_window,prepare,0,F,1.2972109757490824,0,29,2.5
P_short_window_prepare_i0,P,,short_window,prepare,0,B,85.07110061189172,0,2,2.5
P_short_window_prepare_i1,P,,short_window,prepare,1,M,104.6144478960865,0,0,2.5
P_short_window_prepare_i1,P,,short_window,prepare,1,R,137.86329392653164,0,0,2.5
P_short_window_prepare_i1,P,,short_window,prepare,1,F,1.2972109757490824,0,29,2.5
P_short_window_prepare_i1,P,,short_window,prepare,1,B,130.6072957629585,0,2,2.5
P_short_window_prepare_i2,P,,short_window,prepare,2,M,44.25647397171972,0,0,2.5
P_short_window_prepare_i2,P,,short_window,prepare,2,R,102.06315963229098,0,0,2.5
P_short_window_prepare_i2,P,,short_window,prepare,2,F,1.2972109757490824,0,29,2.5
P_short_window_prepare_i2,P,,short_window,prepare,2,B,95.72484448857429,0,2,2.5
S1_ample_none_i1,S1,,ample,none,1,M,13.073252951777862,0,0,2.5
S1_ample_none_i1,S1,,ample,none,1,R,87.11777391454424,0,0,2.5
S1_ample_none_i1,S1,,ample,none,1,F,0.0,0,3,2.5
S1_ample_none_i1,S1,,ample,none,1,B,78.64279473952226,0,2,2.5
S1_ample_none_i2,S1,,ample,none,2,M,1.2884520054168431,0,0,2.5
S1_ample_none_i2,S1,,ample,none,2,R,29.639636320805483,0,0,2.5
S1_ample_none_i2,S1,,ample,none,2,F,0.0,0,3,2.5
S1_ample_none_i2,S1,,ample,none,2,B,21.941606406960073,0,2,2.5
S1_ample_prepare_i1,S1,,ample,prepare,1,M,13.077898073907276,0,0,2.5
S1_ample_prepare_i1,S1,,ample,prepare,1,R,87.11777393354187,0,0,2.5
S1_ample_prepare_i1,S1,,ample,prepare,1,F,1.1544896481720752,0,32,2.500000000000002
S1_ample_prepare_i1,S1,,ample,prepare,1,B,78.6427947443436,0,2,2.5
S1_ample_prepare_i2,S1,,ample,prepare,2,M,2.065116147364868,0,0,2.5
S1_ample_prepare_i2,S1,,ample,prepare,2,R,29.65030219868015,0,0,2.5
S1_ample_prepare_i2,S1,,ample,prepare,2,F,1.1544896481720752,0,32,2.500000000000002
S1_ample_prepare_i2,S1,,ample,prepare,2,B,21.951801015121706,0,2,2.5
S1_collaborative_none_i1,S1,,collaborative,none,1,M,103.52209487558837,0,0,2.5
S1_collaborative_none_i1,S1,,collaborative,none,1,R,114.20890936249266,1,4,2.5
S1_collaborative_none_i1,S1,,collaborative,none,1,F,0.0,0,0,0.0
S1_collaborative_none_i1,S1,,collaborative,none,1,B,103.38884554338493,0,2,2.5
S1_collaborative_prepare_i1,S1,,collaborative,prepare,1,M,103.5220965065386,0,0,2.5
S1_collaborative_prepare_i1,S1,,collaborative,prepare,1,R,114.20891036668145,1,4,2.5
S1_collaborative_prepare_i1,S1,,collaborative,prepare,1,F,1.2972109757490824,0,29,2.5
S1_collaborative_prepare_i1,S1,,collaborative,prepare,1,B,103.38884627292748,0,2,2.5
S1_collaborative_prepare_i2,S1,,collaborative,prepare,2,M,91.17606375320337,0,0,2.5
S1_collaborative_prepare_i2,S1,,collaborative,prepare,2,R,99.18049085613279,0,0,2.5
S1_collaborative_prepare_i2,S1,,collaborative,prepare,2,F,1.2972109757490824,0,29,2.5
S1_collaborative_prepare_i2,S1,,collaborative,prepare,2,B,88.05185493092259,0,1,2.5
S1_short_window_none_i0,S1,,short_window,none,0,M,42.51209617144476,0,0,2.5
S1_short_window_none_i0,S1,,short_window,none,0,R,90.86730264449304,0,0,2.5
S1_short_window_none_i0,S1,,short_window,none,0,F,0.0,0,0,0.0
S1_short_window_none_i0,S1,,short_window,none,0,B,85.07109863309968,0,2,2.5
S1_short_window_none_i1,S1,,short_window,none,1,M,104.6144478960865,0,0,2.5
S1_short_window_none_i1,S1,,short_window,none,1,R,137.86329321552358,0,0,2.5
S1_short_window_none_i1,S1,,short_window,none,1,F,0.0,0,0,0.0
S1_short_window_none_i1,S1,,short_window,none,1,B,130.60729541324937,0,2,2.5
S1_short_window_none_i2,S1,,short_window,none,2,M,44.25647397171972,0,0,2.5
S1_short_window_none_i2,S1,,short_window,none,2,R,102.06315711120116,0,0,2.5
S1_short_window_none_i2,S1,,short_window,none,2,F,0.0,0,0,0.0
S1_short_window_none_i2,S1,,short_window,none,2,B,95.72484281568292,0,2,2.5
S1_short_window_prepare_i0,S1,,short_window,prepare,0,M,42.51209617144476,0,0,2.5
S1_short_window_prepare_i0,S1,,short_window,prepare,0,R,90.86730559229821,0,0,2.5
S1_short_window_prepare_i0,S1,,short_window,prepare,0,F,1.2972109757490824,0,29,2.5
S1_short_window_prepare_i0,S1,,short_window,prepare,0,B,85.07110061189172,0,2,2.5
S1_short_window_prepare_i1,S1,,short_window,prepare,1,M,104.6144478960865,0,0,2.5
S1_short_window_prepare_i1,S1,,short_window,prepare,1,R,137.86329392653164,0,0,2.5
S1_short_window_prepare_i1,S1,,short_window,prepare,1,F,1.2972109757490824,0,29,2.5
S1_short_window_prepare_i1,S1,,short_window,prepare,1,B,130.6072957629585,0,2,2.5
S1_short_window_prepare_i2,S1,,short_window,prepare,2,M,44.25647397171972,0,0,2.5
S1_short_window_prepare_i2,S1,,short_window,prepare,2,R,102.06315963229098,0,0,2.5
S1_short_window_prepare_i2,S1,,short_window,prepare,2,F,1.2972109757490824,0,29,2.5
S1_short_window_prepare_i2,S1,,short_window,prepare,2,B,95.72484448857429,0,2,2.5
S2_ample_none_i1,S2,,ample,none,1,M,15.22789255761158,0,0,2.5
S2_ample_none_i1,S2,,ample,none,1,R,43.73209412365229,0,0,2.5
S2_ample_none_i1,S2,,ample,none,1,F,0.0,0,3,2.5
S2_ample_none_i1,S2,,ample,none,1,B,36.298803914913556,0,2,2.5
S2_ample_none_i2,S2,,ample,none,2,M,1.549764091914469,0,0,2.5
S2_ample_none_i2,S2,,ample,none,2,R,20.131400661379555,0,0,2.5
S2_ample_none_i2,S2,,ample,none,2,F,0.0,0,3,2.5
S2_ample_none_i2,S2,,ample,none,2,B,12.923821444071656,0,2,2.5
S2_ample_prepare_i1,S2,,ample,prepare,1,M,15.252985405695922,0,0,2.5
S2_ample_prepare_i1,S2,,ample,prepare,1,R,43.703731172259246,0,0,2.5
S2_ample_prepare_i1,S2,,ample,prepare,1,F,1.1544896481720752,0,32,2.500000000000002
S2_ample_prepare_i1,S2,,ample,prepare,1,B,36.27039008428493,0,2,2.5
S2_ample_prepare_i2,S2,,ample,prepare,2,M,2.4117778393824256,0,0,2.5
S2_ample_prepare_i2,S2,,ample,prepare,2,R,20.180215948560285,0,0,2.5
S2_ample_prepare_i2,S2,,ample,prepare,2,F,1.1544896481720752,0,32,2.500000000000002
S2_ample_prepare_i2,S2,,ample,prepare,2,B,12.965868182282586,0,2,2.5
S2_collaborative_none_i1,S2,,collaborative,none,1,M,85.43556484367605,0,0,2.5
S2_collaborative_none_i1,S2,,collaborative,none,1,R,97.77094525779053,0,0,2.5
S2_collaborative_none_i1,S2,,collaborative,none,1,F,0.0,0,0,0.0
S2_collaborative_none_i1,S2,,collaborative,none,1,B,87.57015317620066,0,2,2.5
S2_collaborative_prepare_i1,S2,,collaborative,prepare,1,M,85.23060825331734,0,0,2.5
S2_collaborative_prepare_i1,S2,,collaborative,prepare,1,R,97.66833628866327,0,0,2.5
S2_collaborative_prepare_i1,S2,,collaborative,prepare,1,F,1.2972109757490824,0,29,2.5
S2_collaborative_prepare_i1,S2,,collaborative,prepare,1,B,87.50351643322402,0,2,2.5
S2_collaborative_prepare_i2,S2,,collaborative,prepare,2,M,72.89964817557792,0,0,2.5
S2_collaborative_prepare_i2,S2,,collaborative,prepare,2,R,93.02655502500734,0,0,2.5
S2_collaborative_prepare_i2,S2,,collaborative,prepare,2,F,1.2972109757490824,0,29,2.5
S2_collaborative_prepare_i2,S2,,collaborative,prepare,2,B,84.19006874950874,0,1,2.5
S2_short_window_none_i0,S2,,short_window,none,0,M,42.51209617144476,0,0,2.5
S2_short_window_none_i0,S2,,short_window,none,0,R,90.86730264449304,0,0,2.5
S2_short_window_none_i0,S2,,short_window,none,0,F,0.0,0,0,0.0
S2_short_window_none_i0,S2,,short_window,none,0,B,85.07109863309968,0,2,2.5
S2_short_window_none_i1,S2,,short_window,none,1,M,104.6144478960865,0,0,2.5
S2_short_window_none_i1,S2,,short_window,none,1,R,137.86329321552358,0,0,2.5
S2_short_window_none_i1,S2,,short_window,none,1,F,0.0,0,0,0.0
S2_short_window_none_i1,S2,,short_window,none,1,B,130.60729541324937,0,2,2.5
S2_short_window_none_i2,S2,,short_window,none,2,M,44.25647397171972,0,0,2.5
S2_short_window_none_i2,S2,,short_window,none,2,R,102.06315711120116,0,0,2.5
S2_short_window_none_i2,S2,,short_window,none,2,F,0.0,0,0,0.0
S2_short_window_none_i2,S2,,short_window,none,2,B,95.72484281568292,0,2,2.5
S2_short_window_prepare_i0,S2,,short_window,prepare,0,M,42.51209617144476,0,0,2.5
S2_short_window_prepare_i0,S2,,short_window,prepare,0,R,90.86730559229821,0,0,2.5
S2_short_window_prepare_i0,S2,,short_window,prepare,0,F,1.2972109757490824,0,29,2.5
S2_short_window_prepare_i0,S2,,short_window,prepare,0,B,85.07110061189172,0,2,2.5
S2_short_window_prepare_i1,S2,,short_window,prepare,1,M,104.6144478960865,0,0,2.5
S2_short_window_prepare_i1,S2,,short_window,prepare,1,R,137.86329392653164,0,0,2.5
S2_short_window_prepare_i1,S2,,short_window,prepare,1,F,1.2972109757490824,0,29,2.5
S2_short_window_prepare_i1,S2,,short_window,prepare,1,B,130.6072957629585,0,2,2.5
S2_short_window_prepare_i2,S2,,short_window,prepare,2,M,44.25647397171972,0,0,2.5
S2_short_window_prepare_i2,S2,,short_window,prepare,2,R,102.06315963229098,0,0,2.5
S2_short_window_prepare_i2,S2,,short_window,prepare,2,F,1.2972109757490824,0,29,2.5
S2_short_window_prepare_i2,S2,,short_window,prepare,2,B,95.72484448857429,0,2,2.5
S3_ample_none_i1,S3,,ample,none,1,M,16.828475722218837,0,0,2.5
S3_ample_none_i1,S3,,ample,none,1,R,45.87876568294925,0,0,2.5
S3_ample_none_i1,S3,,ample,none,1,F,0.0,0,3,2.5
S3_ample_none_i1,S3,,ample,none,1,B,38.45571324404054,0,2,2.5
S3_ample_none_i2,S3,,ample,none,2,M,1.5999745036247401,0,0,2.5
S3_ample_none_i2,S3,,ample,none,2,R,19.767322640615966,0,0,2.5
S3_ample_none_i2,S3,,ample,none,2,F,0.0,0,3,2.5
S3_ample_none_i2,S3,,ample,none,2,B,12.590284210297105,0,2,2.5
S3_ample_prepare_i1,S3,,ample,prepare,1,M,16.85905650771127,0,0,2.5
S3_ample_prepare_i1,S3,,ample,prepare,1,R,45.85778495645901,0,0,2.5
S3_ample_prepare_i1,S3,,ample,prepare,1,F,1.1544896481720752,0,32,2.500000000000002
S3_ample_prepare_i1,S3,,ample,prepare,1,B,38.43466702096903,0,2,2.5
S3_ample_prepare_i2,S3,,ample,prepare,2,M,2.46082922324548,0,0,2.5
S3_ample_prepare_i2,S3,,ample,prepare,2,R,19.811142897640842,0,0,2.5
S3_ample_prepare_i2,S3,,ample,prepare,2,F,1.1544896481720752,0,32,2.500000000000002
S3_ample_prepare_i2,S3,,ample,prepare,2,B,12.627240654237328,0,2,2.5
S3_collaborative_none_i1,S3,,collaborative,none,1,M,84.34780583299492,0,0,2.5
S3_collaborative_none_i1,S3,,collaborative,none,1,R,96.43174271635797,0,0,2.5
S3_collaborative_none_i1,S3,,collaborative,none,1,F,0.0,0,0,0.0
S3_collaborative_none_i1,S3,,collaborative,none,1,B,86.16006674023927,0,2,2.5
S3_collaborative_prepare_i1,S3,,collaborative,prepare,1,M,83.59623851382092,0,0,2.5
S3_collaborative_prepare_i1,S3,,collaborative,prepare,1,R,95.90088422041396,0,0,2.5
S3_collaborative_prepare_i1,S3,,collaborative,prepare,1,F,1.2972109757490824,0,29,2.5
S3_collaborative_prepare_i1,S3,,collaborative,prepare,1,B,85.73073647299552,0,2,2.5
S3_collaborative_prepare_i2,S3,,collaborative,prepare,2,M,69.99914423507173,0,0,2.5
S3_collaborative_prepare_i2,S3,,collaborative,prepare,2,R,88.83078602297373,0,0,2.5
S3_collaborative_prepare_i2,S3,,collaborative,prepare,2,F,1.2972109757490824,0,29,2.5
S3_collaborative_prepare_i2,S3,,collaborative,prepare,2,B,79.95203433097677,0,1,2.5
S3_short_window_none_i0,S3,,short_window,none,0,M,42.51209617144476,0,0,2.5
S3_short_window_none_i0,S3,,short_window,none,0,R,90.86730264449304,0,0,2.5
S3_short_window_none_i0,S3,,short_window,none,0,F,0.0,0,0,0.0
S3_short_window_none_i0,S3,,short_window,none,0,B,85.07109863309968,0,2,2.5
S3_short_window_none_i1,S3,,short_window,none,1,M,104.6144478960865,0,0,2.5
S3_short_window_none_i1,S3,,short_window,none,1,R,137.86329321552358,0,0,2.5
S3_short_window_none_i1,S3,,short_window,none,1,F,0.0,0,0,0.0
S3_short_window_none_i1,S3,,short_window,none,1,B,130.60729541324937,0,2,2.5
S3_short_window_none_i2,S3,,short_window,none,2,M,44.25647397171972,0,0,2.5
S3_short_window_none_i2,S3,,short_window,none,2,R,102.06315711120116,0,0,2.5
S3_short_window_none_i2,S3,,short_window,none,2,F,0.0,0,0,0.0
S3_short_window_none_i2,S3,,short_window,none,2,B,95.72484281568292,0,2,2.5
S3_short_window_prepare_i0,S3,,short_window,prepare,0,M,42.51209617144476,0,0,2.5
S3_short_window_prepare_i0,S3,,short_window,prepare,0,R,90.86730559229821,0,0,2.5
S3_short_window_prepare_i0,S3,,short_window,prepare,0,F,1.2972109757490824,0,29,2.5
S3_short_window_prepare_i0,S3,,short_window,prepare,0,B,85.07110061189172,0,2,2.5
S3_short_window_prepare_i1,S3,,short_window,prepare,1,M,104.6144478960865,0,0,2.5
S3_short_window_prepare_i1,S3,,short_window,prepare,1,R,137.86329392653164,0,0,2.5
S3_short_window_prepare_i1,S3,,short_window,prepare,1,F,1.2972109757490824,0,29,2.5
S3_short_window_prepare_i1,S3,,short_window,prepare,1,B,130.6072957629585,0,2,2.5
S3_short_window_prepare_i2,S3,,short_window,prepare,2,M,44.25647397171972,0,0,2.5
S3_short_window_prepare_i2,S3,,short_window,prepare,2,R,102.06315963229098,0,0,2.5
S3_short_window_prepare_i2,S3,,short_window,prepare,2,F,1.2972109757490824,0,29,2.5
S3_short_window_prepare_i2,S3,,short_window,prepare,2,B,95.72484448857429,0,2,2.5
